No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
289;17.268.650.680;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=295/9985, ttl=64 (request in 288);172;192.168.1.105;;-51 dBm;-51 dBm
290;17.270.732.690;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=295/9985, ttl=64;161;192.168.1.105;;-56 dBm;-52 dBm
297;18.261.089.979;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
298;18.270.238.426;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
299;18.270.267.979;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);172;192.168.1.105;;-77 dBm;-72 dBm
300;18.270.643.536;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
301;18.270.670.754;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);172;192.168.1.105;;-58 dBm;-55 dBm
302;18.270.969.729;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (no response found!);162;;192.168.1.109;-51 dBm;-51 dBm
303;18.270.996.129;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);172;192.168.1.105;;-77 dBm;-78 dBm
304;18.271.272.613;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (no response found!);162;;192.168.1.109;-52 dBm;-51 dBm
305;18.271.298.583;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);172;192.168.1.105;;-52 dBm;-79 dBm
306;18.271.316.154;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (no response found!);162;;192.168.1.109;-55 dBm;-50 dBm
307;18.271.333.654;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (no response found!);172;192.168.1.105;;-50 dBm;-52 dBm
308;18.272.218.628;;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=174/44544, ttl=64 (reply in 310);162;;192.168.1.109;-77 dBm;-51 dBm
309;18.272.244.786;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=296/10241, ttl=64 (reply in 311);172;192.168.1.105;;-53 dBm;-51 dBm
310;18.276.052.352;-76 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=174/44544, ttl=64 (request in 308);172;;192.168.1.109;-54 dBm;-51 dBm
311;18.280.065.211;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=296/10241, ttl=64 (request in 309);161;192.168.1.105;;-50 dBm;-51 dBm
312;18.315.118.637;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=174/44544, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
319;19.237.621.307;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=175/44800, ttl=64 (reply in 322);161;;192.168.1.109;-49 dBm;-78 dBm
320;19.264.081.899;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=297/10497, ttl=64 (no response found!);161;192.168.1.105;;-49 dBm;-51 dBm
321;19.265.625.733;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=297/10497, ttl=64 (reply in 323);161;192.168.1.105;;-49 dBm;-51 dBm
322;19.375.595.889;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=175/44800, ttl=64 (request in 319);172;;192.168.1.109;-55 dBm;-51 dBm
323;19.377.095.139;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=297/10497, ttl=64 (request in 321);172;192.168.1.105;;-50 dBm;-77 dBm
324;19.377.127.597;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=175/44800, ttl=64;161;;192.168.1.109;-51 dBm;-50 dBm
325;19.378.447.314;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=175/44800, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
326;19.378.484.272;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=297/10497, ttl=64;161;192.168.1.105;;-77 dBm;-78 dBm
328;20.146.699.035;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=176/45056, ttl=64 (reply in 329);161;;192.168.1.109;-51 dBm;-51 dBm
329;20.152.557.714;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=176/45056, ttl=64 (request in 328);172;;192.168.1.109;-50 dBm;-51 dBm
330;20.156.408.527;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=176/45056, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
331;20.263.389.564;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
332;20.265.811.774;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-79 dBm
333;20.265.836.628;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-51 dBm
334;20.265.854.031;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-52 dBm
335;20.265.869.066;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (no response found!);161;192.168.1.105;;-78 dBm;-51 dBm
336;20.265.886.499;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=298/10753, ttl=64 (reply in 337);161;192.168.1.105;;-51 dBm;-78 dBm
337;20.267.202.866;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=298/10753, ttl=64 (request in 336);172;192.168.1.105;;-57 dBm;-51 dBm
338;20.269.158.503;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=298/10753, ttl=64;161;192.168.1.105;;-56 dBm;-50 dBm
361;21.183.057.011;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=177/45312, ttl=64 (reply in 362);161;;192.168.1.109;-51 dBm;-51 dBm
362;21.191.444.119;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64 (request in 361);172;;192.168.1.109;-51 dBm;-51 dBm
363;21.194.007.527;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64;161;;192.168.1.109;-51 dBm;-77 dBm
364;21.194.031.627;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64;161;;192.168.1.109;-76 dBm;-51 dBm
365;21.194.046.942;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64;161;;192.168.1.109;-52 dBm;-51 dBm
366;21.194.063.500;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64;161;;192.168.1.109;-76 dBm;-77 dBm
367;21.194.949.156;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=177/45312, ttl=64;161;;192.168.1.109;-52 dBm;-51 dBm
368;21.265.461.599;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=299/11009, ttl=64 (no response found!);161;192.168.1.105;;-56 dBm;-51 dBm
369;21.267.100.592;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=299/11009, ttl=64 (reply in 370);161;192.168.1.105;;-51 dBm;-52 dBm
370;21.274.097.272;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=299/11009, ttl=64 (request in 369);172;192.168.1.105;;-77 dBm;-51 dBm
371;21.276.087.881;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=299/11009, ttl=64;161;192.168.1.105;;-51 dBm;-50 dBm
383;22.207.041.624;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=178/45568, ttl=64 (reply in 384);161;;192.168.1.109;-52 dBm;-52 dBm
384;22.213.234.691;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=178/45568, ttl=64 (request in 383);172;;192.168.1.109;-51 dBm;-51 dBm
385;22.215.301.024;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=178/45568, ttl=64;161;;192.168.1.109;-51 dBm;-78 dBm
386;22.267.308.015;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=300/11265, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
387;22.269.041.773;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=300/11265, ttl=64 (reply in 388);161;192.168.1.105;;-51 dBm;-51 dBm
388;22.274.780.935;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=300/11265, ttl=64 (request in 387);172;192.168.1.105;;-54 dBm;-51 dBm
389;22.276.904.654;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=300/11265, ttl=64;161;192.168.1.105;;-53 dBm;-51 dBm
402;23.150.657.252;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=179/45824, ttl=64 (reply in 403);161;;192.168.1.109;-54 dBm;-51 dBm
403;23.156.249.327;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=179/45824, ttl=64 (request in 402);172;;192.168.1.109;-58 dBm;-51 dBm
404;23.158.130.376;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=179/45824, ttl=64;161;;192.168.1.109;-52 dBm;-52 dBm
405;23.275.645.675;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
406;23.280.561.158;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
407;23.281.712.152;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-51 dBm
408;23.287.364.275;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-52 dBm
409;23.287.388.408;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-78 dBm
410;23.287.403.942;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=301/11521, ttl=64 (reply in 411);161;192.168.1.105;;-77 dBm;-51 dBm
411;23.306.107.751;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=301/11521, ttl=64 (request in 410);172;192.168.1.105;;-51 dBm;-51 dBm
412;23.307.791.625;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=301/11521, ttl=64;161;192.168.1.105;;-56 dBm;-51 dBm
420;24.255.148.818;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=180/46080, ttl=64 (reply in 423);161;;192.168.1.109;-52 dBm;-50 dBm
421;24.270.617.315;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=302/11777, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-78 dBm
422;24.272.212.069;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=302/11777, ttl=64 (reply in 424);161;192.168.1.105;;-51 dBm;-51 dBm
423;24.463.374.325;;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=180/46080, ttl=64 (request in 420);162;;192.168.1.109;-57 dBm;-51 dBm
424;24.463.395.783;-76 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=302/11777, ttl=64 (request in 422);172;192.168.1.105;;-51 dBm;-50 dBm
425;24.465.490.031;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=302/11777, ttl=64;161;192.168.1.105;;-78 dBm;-52 dBm
426;24.562.057.506;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=180/46080, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
434;25.177.198.809;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=181/46336, ttl=64 (reply in 435);161;;192.168.1.109;-54 dBm;-51 dBm
435;25.177.926.650;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=181/46336, ttl=64 (request in 434);172;;192.168.1.109;-51 dBm;-51 dBm
436;25.179.882.445;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=181/46336, ttl=64;161;;192.168.1.109;-78 dBm;-51 dBm
437;25.272.295.128;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=303/12033, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-79 dBm
438;25.273.603.145;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=303/12033, ttl=64 (reply in 439);161;192.168.1.105;;-56 dBm;-50 dBm
439;25.279.190.688;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=303/12033, ttl=64 (request in 438);172;192.168.1.105;;-53 dBm;-51 dBm
440;25.281.188.594;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=303/12033, ttl=64;161;192.168.1.105;;-57 dBm;-51 dBm
456;26.200.223.739;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=182/46592, ttl=64 (reply in 461);161;;192.168.1.109;-52 dBm;-51 dBm
459;26.273.975.369;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=304/12289, ttl=64 (no response found!);158;192.168.1.105;;-78 dBm;-51 dBm
460;26.275.412.756;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=304/12289, ttl=64 (reply in 464);161;192.168.1.105;;-51 dBm;-51 dBm
461;26.336.840.104;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=182/46592, ttl=64 (request in 456);172;;192.168.1.109;-55 dBm;-51 dBm
462;26.338.816.361;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=182/46592, ttl=64;161;;192.168.1.109;-52 dBm;-79 dBm
463;26.338.843.747;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=182/46592, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
464;26.338.883.424;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=304/12289, ttl=64 (request in 460);172;192.168.1.105;;-55 dBm;-51 dBm
465;26.339.708.531;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=182/46592, ttl=64;161;;192.168.1.109;-51 dBm;-79 dBm
466;26.339.733.487;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=182/46592, ttl=64;161;;192.168.1.109;-79 dBm;-51 dBm
467;26.340.715.102;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=304/12289, ttl=64;161;192.168.1.105;;-52 dBm;-51 dBm
475;27.224.892.381;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=183/46848, ttl=64 (no response found!);161;;192.168.1.109;-56 dBm;-50 dBm
476;27.224.917.196;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=183/46848, ttl=64 (reply in 477);161;;192.168.1.109;-50 dBm;-51 dBm
477;27.231.683.838;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=183/46848, ttl=64 (request in 476);172;;192.168.1.109;-51 dBm;-51 dBm
478;27.234.087.090;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=183/46848, ttl=64;161;;192.168.1.109;-77 dBm;-51 dBm
479;27.234.111.255;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=183/46848, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
480;27.275.342.009;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (no response found!);158;192.168.1.105;;-56 dBm;-51 dBm
481;27.277.321.045;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-50 dBm
482;27.277.345.679;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-51 dBm
483;27.277.365.599;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-50 dBm
484;27.277.381.342;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (no response found!);161;192.168.1.105;;-77 dBm;-51 dBm
485;27.278.418.984;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=305/12545, ttl=64 (reply in 486);161;192.168.1.105;;-51 dBm;-79 dBm
486;27.279.668.504;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=305/12545, ttl=64 (request in 485);172;192.168.1.105;;-55 dBm;-51 dBm
487;27.281.470.734;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=305/12545, ttl=64;161;192.168.1.105;;-52 dBm;-52 dBm
498;28.254.505.889;-84 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=184/47104, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-52 dBm
499;28.254.543.205;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=184/47104, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
500;28.262.963.789;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=184/47104, ttl=64 (reply in 506);161;;192.168.1.109;-51 dBm;-51 dBm
502;28.277.523.340;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=306/12801, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-51 dBm
503;28.278.803.390;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=306/12801, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-80 dBm
504;28.278.827.885;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=306/12801, ttl=64 (no response found!);161;192.168.1.105;;-73 dBm;-51 dBm
505;28.280.568.487;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=306/12801, ttl=64 (reply in 507);158;192.168.1.105;;-56 dBm;-51 dBm
506;28.417.325.066;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=184/47104, ttl=64 (request in 500);172;;192.168.1.109;-51 dBm;-80 dBm
507;28.420.371.438;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=306/12801, ttl=64 (request in 505);172;192.168.1.105;;-78 dBm;-52 dBm
508;28.422.849.128;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=306/12801, ttl=64;161;192.168.1.105;;-50 dBm;-51 dBm
509;28.422.873.938;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=306/12801, ttl=64;161;192.168.1.105;;-55 dBm;-51 dBm
510;28.453.202.056;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=184/47104, ttl=64;161;;192.168.1.109;-51 dBm;-78 dBm
519;29.272.559.104;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=185/47360, ttl=64 (reply in 523);161;;192.168.1.109;-51 dBm;-51 dBm
520;29.278.517.637;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=307/13057, ttl=64 (no response found!);158;192.168.1.105;;-51 dBm;-51 dBm
521;29.280.013.504;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=307/13057, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-51 dBm
522;29.281.305.202;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=307/13057, ttl=64 (reply in 524);161;192.168.1.105;;-51 dBm;-51 dBm
523;29.281.365.654;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=185/47360, ttl=64 (request in 519);172;;192.168.1.109;-79 dBm;-52 dBm
524;29.281.773.196;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=307/13057, ttl=64 (request in 522);172;192.168.1.105;;-51 dBm;-51 dBm
525;29.284.114.594;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=307/13057, ttl=64;161;192.168.1.105;;-54 dBm;-79 dBm
526;29.284.154.304;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=185/47360, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
527;29.284.169.983;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=185/47360, ttl=64;161;;192.168.1.109;-79 dBm;-51 dBm
541;30.194.107.651;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=186/47616, ttl=64 (reply in 542);161;;192.168.1.109;-52 dBm;-51 dBm
542;30.201.485.441;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=186/47616, ttl=64 (request in 541);172;;192.168.1.109;-55 dBm;-51 dBm
543;30.203.535.185;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=186/47616, ttl=64;161;;192.168.1.109;-51 dBm;-52 dBm
544;30.280.210.934;-58 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=308/13313, ttl=64 (no response found!);158;192.168.1.105;;-78 dBm;-51 dBm
545;30.282.727.635;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=308/13313, ttl=64 (reply in 546);161;192.168.1.105;;-51 dBm;-80 dBm
546;30.289.969.326;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=308/13313, ttl=64 (request in 545);172;192.168.1.105;;-55 dBm;-52 dBm
547;30.294.110.318;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=308/13313, ttl=64;161;192.168.1.105;;-51 dBm;-51 dBm
548;30.294.128.818;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=308/13313, ttl=64;161;192.168.1.105;;-79 dBm;-51 dBm
560;31.218.129.794;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=187/47872, ttl=64 (reply in 563);161;;192.168.1.109;-51 dBm;-50 dBm
561;31.281.290.491;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=309/13569, ttl=64 (no response found!);161;192.168.1.105;;-56 dBm;-80 dBm
562;31.282.902.400;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=309/13569, ttl=64 (reply in 564);161;192.168.1.105;;-50 dBm;-51 dBm
563;31.455.542.433;;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=187/47872, ttl=64 (request in 560);162;;192.168.1.109;-51 dBm;-51 dBm
564;31.455.563.606;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=309/13569, ttl=64 (request in 562);172;192.168.1.105;;-51 dBm;-52 dBm
565;31.461.766.892;-53 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=309/13569, ttl=64;158;192.168.1.105;;-51 dBm;-52 dBm
